Nomi,Narxi ($),Tavsifi,Rasm
Tapo C425(2-pack),125.0,"Умная Wi‑Fi IP-камера (2-pack)
Спецификация:2K QHD (2560x1440), 2.4 ГГц, перезаряжаемая литий-ионная батарея 10000 мАч
Особенности: время работы от батареи - до 1 года, интеллектуальное обнаружение и уведомления (движение, люди, домашние животные, автомобили), цветное ночное видение, звуковая и световая сигнализация, удаленное управление, двустороннее аудио, магнитная основа, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP66, ночное видение (до 15 метров)",
Tapo C425(4-pack),240.0,"Умная беспроводная IP-камера (4-pack)
Спецификация:2K QHD (2560x1440), 2.4 ГГц, перезаряжаемая литий-ионная батарея 10000 мАч
Особенности: время работы от батареи - до 1 года, интеллектуальное обнаружение и уведомления (движение, люди, домашние животные, автомобили), цветное ночное видение, звуковая и световая сигнализация, удаленное управление, двустороннее аудио, магнитная основа, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP66, ночное видение (до 15 метров)",
Tapo C510W,37.0,"Наружная беспроводная поворотно-наклонная облачная IP-камера
Спецификация: 2K (2304x1296), 2.4 ГГц, горизонтально 360º
Особенности: поворотно-наклонная, цветное ночное видение, интеллектуальное обнаружение и уведомления (движение, люди), звуковая и световая сигнализация, удаленное управление, двустороннее аудио, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP65, ночное видение (до 30 м), простая настройка (FFS)",
Tapo C520WS,46.0,"Наружная беспроводная поворотно-наклонная облачная IP-камера
Спецификация: 2K QHD (2560x1440), 2.4 ГГц, 2T2R, 2 × внешние антенны, 1 × порт RJ45, горизонтально 360º
Особенности: поворотно-наклонная, цветное ночное видение Starlight, Smart-обнаружение на основе ИИ и уведомления (движение, люди, домашние животные, автомобили), звуковая и световая сигнализация, удаленное управление, двустороннее аудио, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP66, ночное видение (до 30 м), простая настройка (FFS)",
Tapo C720,105.0,"Умная IP-камера с прожектором
Спецификация: 2K QHD (2560x1440), 2.4 ГГц, 2800 лм (цветовая температура 5000 K), 270° пассивный инфракрасный датчик
Особенности: Ультраяркий прожектор с регулируемой яркостью, активация движением, маркировка движения, Smart-обнаружение на основе ИИ и уведомления (движение, люди, домашние животные, автомобили), звуковая и световая сигнализация, удаленное управление, двустороннее аудио, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP65, ночное видение (до 30 м), простая настройка (FFS)",
Tapo D210,47.0,"Умная дверная IP-камера
1 × Tapo D210, 1 × Tapo D100C
Спецификация: 2K 3MP (2304 × 1296), 2.4 ГГц, перезаряжаемая литий-ионная батарея 6400 мАч
FEATURE：рингтоны, время работы от батареи - до 230 дней, отображение в полный рост (16:9), Угол обзора по диагонали 160°, интеллектуальное обнаружение и уведомления (движение, люди), цветное ночное видение, двустороннее аудио, быстрый отклик, голосовой вызов, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App, защита от атмосферных воздействий IP65, ночное видение (до 7.5 м)",
Tapo D230S1,85.0,"Умный дверной видео-звонок (в комплекте с IoT-хабом)
1 × Tapo D230, 1 × Tapo H200
Спецификация: 2K 5MP (2560x1920), 2.4 ГГц, перезаряжаемая литий-ионная батарея 6700 мАч
Особенности: рингтоны, время работы от батареи - до 180 дней работы от одной подзарядки, отображение в полный рост (4:3), интеллектуальное обнаружение и уведомления (движение, люди, домашние животные, автомобили, пакеты), цветное ночное видение, двустороннее аудио, быстрый отклик, видеозвонок, голосовое управление (поддержка Google Assistant и Amazon Alexa), локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App,  защита от атмосферных воздействий IP64, ночное видение (до 7.5 м)",
Tapo H100,15.0,"Умный IoT-шлюз with Chime
Спецификация: 2.4 ГГц Wi-Fi, 868 МГц для устройств, 100-240 В переменного тока, 50/60 Гц
Особенности: удаленное управление, мобильное приложение мобильное приложение Tapo App, Регулируемая звуковая сигнализация 90 дБ, 19 встроенных рингтонов, поддержка до 64 устройств, режимы ""дома"", ""в гостях"", ""спящий режим"", кнопка отключения звука, простая установка, совместное использование устройства, огнестойкая, сертифицировано CE/UKCA",
Tapo H200,26.4,"IoT-хаб 
Спецификация: 2.4 ГГц, 868 МГц, 1 × порт RJ45
Особенности: Регулируемая звуковая сигнализация 90 дБ, 19 встроенных рингтонов, до 64 выключателей, датчиков или кнопок + 4 камеры или дверных звонков, кнопка отключения звука, простая установка, совместное использование устройства, огнестойкая, локальная запись на карту microSD (до 512 ГБ), мобильное приложение Tapo App",
Tapo L510B,6.0,"Smart-лампа с регулируемой яркостью
Параметры: цоколь B22, 200–240 В, яркость 806 lm, максимальная потребляемая мощность 8.7 Вт, цветовая температора 2,700 K, угол луча 220°, 50/60 Гц, IEEE 802.11b/g/n, 2.4 ГГц
Функции: регулируема яркость, голосовое управление (поддерживаются Amazon Alexa и Google Assistant), удаленный доступ через мобильное приложение Tapo App, расписание работы и таймер, простая установка, режим присутствия, мониторинг потребляемой электроэнергии, совместное использование устройства",
Tapo L510E,6.0,"Умная Wi-Fi лампа Tapo, колба — A60, цоколь — E27, 8,7 Вт, 2700 K, тёплый белый свет, световой поток — 800 лм, диммируемая, 802.11b/g/n 2,4 ГГц Wi-Fi, 200–240 В, 50/60 Гц, работает с Google Assistant, поддерживает удалённый доступ, простая установка/управление через приложение Tapo.",
Tapo L520E,7.0,"Умная Wi-Fi лампа, диммируемый дневной свет
Спецификация: 2.4 ГГц, IEEE 802.11b/g/n, цоколь цоколь E27, 220-240 В, 50/60 Гц, 806 лм, 7.8 W, 4,000 K, угол рассеивания 220° , 8 kWh / 1000h, срок службы до 15000 часов
Особенности: диммируемая, не требует IoT-хаб, голосовое управление (поддержка Amazon Alexa и Google Assistant), удаленное управление, расписание и таймер, простая настройка, режим присутствия, мониторинг энергопотребления, обнаружение устройств",
Tapo L535B,9.0,"Многоцветная умная лампа с поддержкой Matter
Спецификация: тип лампы - A60, цоколь цоколь B22, 220-240 В, 50/60 Гц, 8.6 Вт, 16 миллионов цветов, 2500K-6500K, яркость: W: 1055 лм/ R: 80 лм/ G: 171лм/ B: 46 лм, эквивалент лампы накаливания 75 Вт, угол луча 220°, срок службы до 25000 часов, ERP:E, 2.4 ГГц Wi-Fi, Bluetooth (только для адаптации)
Особенности: многоцветная, поддержка Matter, улучшенная светоотдача,не требует IoT-хаб, удобное диммирование,голосовое управление (поддержка Google Assistant и Amazon Alexa и Apple Siri), удаленное управление, групповое управление, расписание и таймер, режим присутствия, мониторинг энергопотребления,  автоматический белый",
Tapo P100M,10.0,"Умная мини Wi-Fi розетка, поддержка Matter
Спецификация: 220-240 В, максимальная нагрузка 10 А, 50/60 Гц, 2.4 ГГц Wi-Fi, Bluetooth 4.2 (только для адаптации)
Особенности: поддержка Matter, голосовое управление (поддержка Google Assistant и Amazon Alexa), удаленное управление, мобильное приложение мобильное приложение Tapo App, расписание и таймер, режим присутствия, усиленный Wi-Fi, простая установка, совместное использование устройства, отслеживание времени использования, огнестойкая",
Tapo P300,30.0,"Умный беспроводной тройник-удлинитель с 3 розетками HomeKit
Спецификация: требует Wi-Fi 2.4 ГГц, 100-240 В переменного тока, 50/60 Гц, максимально 10 А, общая максимальная нагрузка 2300 Вт, двухконтактная вилка с заземлением, 2 × порта USB-A, 1 × порт USB-С
Особенности: поддержка HomeKit, длина шнура 1,5 м, 3 выхода с индивидуальным управлением, защита от перенапряжения, быстрая зарядка 3 × 18 Вт PD/QC, мобильное приложение Tapo App, поддержка Google Assistant, Amazon Alexa и Samsung SmartThings, удаленное управление, расписание, таймер, режим присутствия, групповое управление, настройка цветовых сцен, не требует IoT-хаб, простая установка, совместим с французской розеткой",
Tapo S200D,11.0,"Умный диммер-выключатель
Спецификация: 868 МГц, питание от батареи (1 × CR2032), подходит для монтажной коробки Великобритании и ЕС
Особенности: мобильное приложение Tapo App, требует IoT-хаб Tapo, умные действия, несколько способов управления (щелчок, двойной щелчок, поворот), несколько способов установки (паста, магнит, винт), настенная пластина, клейкая лента 3M и винты в комплекте, батарея в комплекте, время работы от батареи - до 1 года, сертифицировано CE/UKCA",
Tapo S210,14.0,"Умный 1-клавишный, 1-позиционный выключатель
Спецификация: 868 МГц, 250 В переменного тока, 50/60 Гц, одна клавиша, размер 86 × 86 мм, питание от батареи (2 × AAA), лампы накаливания до 1000 Вт, светодиодные лампы до 600 Вт, установка в стене, не требует нулевого провода
Особенности: мобильное приложение Tapo App, требуется IoT-хаб Tapo, голосовое управление (поддержка Google Assistant и Amazon Alexa), удаленное управление, расписание, таймер, режим присутствия, групповое управление, умные действия, нет ограничения по минимальной нагрузке, без мерцания, подходит для монтажной коробки Великобритании и ЕС, батареи в комплекте, огнестойкая, сертифицировано CE/UKCA",
Tapo S220,17.0,"Smart Light Switch 2-Gang 1-Way
Спецификация: 868 MHz, 250 V~, 50/60 Гц, 2-Gang, Size 86мм x 86mm, battery powered(2*AAA), 1000 W incandescent, 600 W LED/CFL, In-wall Installation, no neutral wire required
Особенности: мобильное приложение мобильное приложение Tapo App, Tapo IoT hub required, voice control with Alexa & Google Assistant, удаленное управление, расписание, таймер, режим присутствия, групповое управление, smart action, no minimum load limit, flicker-free, suitable for UK и EU wall box, batteries included, пожаробезопасная, CE / UKCA certified",
Tapo T100,11.0,"Умный датчик движения
Спецификация: 868 МГц, питание от батареи (1 × CR2450), 120° / дальность обнаружения 5 м
Особенности: мобильное приложение Tapo App, требуется IoT-хаб Tapo, умные действия, датчик движения, основание с шарниром, регулируемое направление, батарея в комплекте, сертифицировано CE/UKCA",
Tapo T110,10.0,"Умный контактный датчик
Спецификация: 868 МГц, питание от батареи (1 × CR2032), клейкая лента 3M
Особенности: мобильное приложение Tapo App, требуется IoT-хаб Tapo, умные действия, обнаружение открытия двери/окна, батарея в комплекте, клейкая лента 3M в комплекте, сертифицировано CE/UKCA",
Tapo T300,14.0,"Умный датчик протечки воды
Спецификация: 868 МГц, 2 × батареи AAA
Особенности: требуется IoT-хаб Tapo, обнаружение капания и протечки, звук сигнала тревоги 90 дБ, отключение звука и регулировка громкости, защита от атмосферных воздействий IP67, умные действия, мобильное приложение Tapo App",
Tapo T310,11.0,"Умный датчик температуры и влажности
Спецификация: 868 МГц, питание от батареи (1 × CR2450), диапазон и точность измерения температуры: -20℃~60℃, ±0.3℃，диапазон и точность измерения температуры: 0~99%RH, ±3%RH
Особенности: мобильное приложение Tapo App, требуется IoT-хаб Tapo, умные действия, высокоточный контроль, оповещения и уведомления,  время обновления 2 с, двухлетнее хранение данных с возможностью экспорта, батарея в комплекте, клейкая лента 3M, магнит и шнурок в комплекте, сертифицировано CE/UKCA.",
Tapo T315,21.0,"Умный монитор температуры и влажности
Спецификация: 868 МГц, питание от батареи (2 × AAA), E-ink дисплей 2.7 дюйма, диапазон и точность измерения температуры: 0℃~50℃, ±0.3℃，диапазон и точность измерения температуры: 0~99%RH, ±3%RH
Особенности: мобильное приложение Tapo App, требуется IoT-хаб Tapo, умные действия, отчетливый дисплей E-ink, мониторинг в реальном времени и отображение данных в динамике,  время обновления 2 с, двухлетнее хранение данных с возможностью экспорта, оповещения и уведомления, индикация комфорта с помощью смайлов, батарея в комплекте, клейкая лента 3M и магнит в комплекте, сертифицировано CE/UKCA.",
WI-AP216,38,WIFI5 1200M with FE ports AP,
WI-AP217-Lite V2,64,WIFI5 1200M with GE ports AP,
WI-AP218AX-Lite V2,69,WIFI6 1800M AP,
WI-AP219AX-Lite V2,78,WIFI6  3000M AP,
WI-CPE110-KIT V2,46,PTP/PTMP bridge ● 2.4GHz 300Mbps 1km Wireless Transmitter for CCTV,
WI-CPE511H-KIT V2,73,PTP/PTMP bridge ● 5GHz 867Mbps 3km Wireless Transmitter for CCTV,
WI-CPE513P-KIT V3,122,PTP/PTMP bridge * 5GHz 300Mbps 5km Wireless Transmitter for CCTV,
WK-WB08-KIT,36,PTP/PTMP bridge ● 2.4GHz 300Mbps 800m Wireless Transmitter for CCTV,
WI-LTE300 V1,20,4G LTE Router,
WI-PCMS328GF V2,271,"* Cloud L2+ managed fiber PoE Switch.
* 24 1000Mbps PoE ports, 2 1000Mbps SFP and 2 1000Mbps Combo SFP.
* 370W Power budget.",
WI-PCMS528F-L3 V2,482,"*L3 managed Cloud PoE Switch.
*24 Gigabit Ethernet RJ-45 PoE+ ports and 4 10G SFP+ slots.",
WI-PCMS554F-L3 V2,674,"*L3 managed Cloud PoE Switch.
*48 Gigabit Ethernet RJ-45 PoE+ ports and 6 10G SFP+ slots.",
WK-PS206,12,● 4* 100Mbps PoE ports and 2* 100Mbps RJ45 uplink ports.,
WK-PS210,18,● 8* 100Mbps PoE ports and 2* 100Mbps RJ45 uplink ports.,
WK-PS219GF,69,"● 16 x 10/100Mbps PoE Ports, 2 x 10/100/1000Mbps RJ45 Uplink Ports and 1 x 1000Mbps SFP Slot",
WK-PS227GF,92,"● 24 x 10/100Mbps PoE Ports, 2 x 10/100/1000Mbps RJ45 Uplink Ports and 1 x 1000Mbps SFP Slot",
WK-PS305,19,● 4* 1000Mbps PoE ports and 1* 1000Mbps RJ45 uplink ports.,
WK-PS310,28,● 8* 1000Mbps PoE ports and 2* 1000Mbps RJ45 uplink ports.,
WK-R1800,27,"AX1800 Wi-Fi 6 router
Speed up to 574Mbps (2.4GHz) + 1200Mbps (5GHz)
1 WAN + 3 LAN Gigabit ports for stable connections
4×5dBi antennas + Easy Mesh support for wide wireless coverage
MTK chipset, 256MB RAM, handles up to 90 users
Manage anytime, anywhere with the Wi-Tek App
Includes 12V 1A DC adapter",
WK-R300,19,"Complied with 802.11n,wireless speed of to 300Mbps
4 100Mbps RJ45 LAN ports, provides ample access to wired clients
2x2 MlMO technology provides smooth Wi-Fi experience
2x 5dBi External Omni-directional Antennas
Four working modes all in one,(Support Wirelsss Router, Access Point, Repeater.WISP Mode) caters to multiple networking scenarios
SD-LAN technology provides centralized control, making it easy to
manage your network infrastructure
Wi-Tek Cloud Management for easy management and maintenance",
ИП 101-29-PR с базовым основанием W1.02,18.1,Извещатель пожарный тепловой максимально-дифференциальный адресно-аналоговый ИП 101-29‑PR прот.R3 предназначен для обнаружения возгорания. сопровождающегося повышением температуры внутри контролируемого пространства в закрытых помещениях различных зданий и сооружений и передачи сигнала «Пожар» в приемно-контрольный прибор «Рубеж-2ОП» прот.R3.,
АМП-4,80.0,Метка адресная пожарная АМП-4 предназначена для подключения к адресной системе неадресных пожарных извещателей и передачи информации о состоянии шлейфа с извещателями в адресный приемно-контрольный прибор. Работает в составе адресной системы под управлением приемно-контрольного прибора «Рубеж-2АМ». «Рубеж-4А». «Рубеж-2ОП». ППКПУ серии «Водолей».,
РМ-4К,69.0,Адресные релейные модули РМ- 4К-R3 предназначены для управления исполнительными устройствами. входящими в состав системы пожарной сигнализации. Функционально адресные релейные модули представляют собой дистанционно управляемые выходы напряжения питания. Работают в составе адресной системы под управлением приемно-контрольного прибора Рубеж. обеспечивающим в АЛС обмен в протоколе R3.,
МС-1,93.0,"Модуль сопряжения МС-1 представляют собой цифровое электронное устройство и предназначено для сопряжения адресных приемно-контрольных приборов, блоков индикации и пультов дистанционного управления с компьютером.",
Рубеж-БИУ,323.0,Блок индикации и управления «Рубеж-БИУ» предназначен для отображения состояния зон. групп зон и исполнительных устройств адресной системы охранно-пожарной сигнализации и пожаротушения на встроенном светодиодном табло. а также ручного управления пожарными и охранными зонами адресной системы тм Рубеж.,
ПКУ-1-R3,114.0,"Программатор адресных устройств ПКУ-1-R3 служит для установки, просмотра и изменения адресов адресных устройств: извещателей пожарных дымовых ИП 212-64-R3, тепловых ИП 101- 29-PR-R3, комбинированных ИП 212/101-64- PR-R3, ручных ИПР 513-11-R3, адресных меток АМ-1, АМ-4-R3, релейных модулей РМ-1, РМ-4-R3, а так же любых других АУ прот.R3.",
Рубеж-2ОП Прибор приёмно-контрольный охранно-пожарный адресный ППКОП 011249-2-1,370.0,"Прибор приемно-контрольный и управления охранно-пожарный адреcный «Рубеж-2ОП» прот. R3 предназначен для применения в адресных системах охранной и пожарной сигнализации, пожаротушения, дымоудаления, оповещения. На охранно-пожарных адресных приборах «РУБЕЖ-2ОП» прот. R3 можно построить распределенную адресную систему ОПС с объединением в один интерфейс RS-485 до 60 приемно-контрольных приборов, блоков индикации, пультов и т.п.К каждому из приборов можно подключить до 500 адресных устройств TM RUBEZH R3.",
R3-МС-Е,372.0,Модуль сопряжения преобразователь интерфейса МС-E представляет собой цифровое электронное устройство и предназначен для сопряжения адресных приемно-контрольных приборов R3-Рубеж-2ОП и других устройств интерфейса R3-Link с компьютером через интерфейс Ethernet.,
РМ-4К-R3,75.0,"Адресные релейные модули РМ- 4К-R3 предназначены для управления исполнительными устройствами, входящими в состав системы пожарной сигнализации. Функционально адресные релейные модули представляют собой дистанционно управляемые выходы напряжения питания. Работают в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
СУЗ ОПОП 124-7 Рубеж,10.0,"Оповещатель охранно-пожарный свето-звуковой ОПОП 124-7 12В предназначен для выдачи световых и звуковых сигналов оповещения в системах охранной и охранно-пожарной сигнализации, а также информировании при наступлении особых ситуаций, таких как включение систем порошкового, газового либо водяного пожаротушения и других.",
ИП 212-142 автономный Рубеж,7.7,"ИЗВЕЩАТЕЛЬ ПОЖАРНЫЙ ДЫМОВОЙ ОПТИКО - ЭЛЕКТРОННЫЙ АВТОНОМНЫЙ ИП 212 -142

Извещатели пожарные дымовые оптико-электронные автономные ИП 212-142 предназначены для обнаружения загораний, сопровождающихся появлением дыма малой концентрации в закрытых помещениях различных зданий и сооружений, путем регистрации отраженного от частиц дыма оптического излучения и выдачи тревожных извещений в виде громких звуковых сигналов. Извещатели не реагируют на изменение температуры, влажности, на наличие пламени, естественного или искусственного света.",
ИП 212-187 Рубеж,4.7,"Извещатель пожарный дымовой оптико-электронный ИП 212-187 предназначен для раннего обнаружения загорания, сопровождающегося появлением дыма малой концентрации в закрытых помещениях различных зданий и сооружений. Питание извещателя и передача сигнала «Пожар» осуществляется по двухпроводному шлейфу сигнализации и сопровождается включением оптического индикатора при срабатывании извещателя.",
ИП 212-45 Рубеж,4.66,"Извещатель пожарный дымовой оптико-электронный ИП 212-45 предназначен для раннего обнаружения загорания, сопровождающегося появлением дыма малой концентрации в закрытых помещениях различных зданий и сооружений. Питание извещателя и передача сигнала «Пожар» осуществляется по двухпроводному шлейфу сигнализации и сопровождается включением оптического индикатора при срабатывании извещателя.",
ИПР 513-10 Рубеж,4.0,Извещатель пожарный ручной электроконтактный ИПР 513-10 предназначен для ручной подачи сигнала «Пожар» в системах пожарной сигнализации.,
R3-Рубеж-БИУ,307.0,"Блок индикации и управления R3-Рубеж-БИУ предназначен для сбора информации с приемно-контрольных приборов R3-Рубеж-2ОП или контроллера адресных устройств R3-Рубеж-КАУ2 и отображения состояния зон, групп зон, исполнительных адресных устройств на встроенном светодиодном табло, а также управления охранными зонами, пожарными зонами и исполнительными адресными устройствами.",
ИП 212-64-R3 W1.02,22.36,"Извещатель пожарный дымовой оптико-электронный адресно-аналоговый ИП 212-64 предназначен для обнаружения загораний, сопровождающихся появлением дыма малой концентрации внутри контролируемого пространства в закрытых помещениях различных зданий и сооружений и передачи сигнала «Пожар» в приемно-контрольный прибор «Рубеж-4А», «Рубеж-2ОП»,ППКПУ серии «Водолей».",
ИП 212-64-R3 W1.03 (с площадкой под экран 3К),22.67,"Извещатель пожарный дымовой оптико-электронный адресно-аналоговый ИП 212-64-R3 предназначен для обнаружения возгораний, сопровождающихся появлением дыма внутри контролируемого пространства и передачи сигнала «Пожар», а также сигналов о своем техническом состоянии в приемно-контрольный прибор Рубеж, обеспечивающий в АЛС обмен в протоколе R3.",
ИПР 513-11-А,13.4,"Извещатель пожарный ручной адресный ИПР 513-11-А-R3 предназначен для ручного включения сигнала «Пожар» в адресных системах пожарной и охранно-пожарной сигнализации. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
ИПР 513-11-А-R3,16.51,"Извещатель пожарный ручной адресный ИПР 513-11-А-R3 предназначен для ручного включения сигнала «Пожар» в адресных системах пожарной и охранно-пожарной сигнализации. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
ИПР 513-11ИКЗ-А-R3,18.26,"Извещатель пожарный ручной адресный с встроенным изолятором короткого замыкания ИПР 513-11ИКЗ-А-R3 предназначен для ручного включения сигнала «Пожар» в адресных системах пожарной и охранно-пожарной сигнализации. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
ИП 101-29-PR с базовым основанием W1.02,18.1,"Извещатель пожарный тепловой максимально-дифференциальный адресно-аналоговый ИП 101-29-PR-R3 предназначен для обнаружения возгораний, сопровождающихся повышением температуры внутри контролируемого пространства и передачи сигнала «Пожар», а также сигналов о своем техническом состоянии в приемно-контрольный прибор Рубеж, обеспечивающий в АЛС обмен в протоколе R3.",
ИП 101-29-PR-R3 W1.03 (с площадкой под экран 3К),20.0,"Извещатель пожарный тепловой максимально-дифференциальный адресно-аналоговый ИП 101-29-PR-R3 предназначен для обнаружения возгораний, сопровождающихся повышением температуры внутри контролируемого пространства и передачи сигнала «Пожар», а также сигналов о своем техническом состоянии в приемно-контрольный прибор Рубеж, обеспечивающий в АЛС обмен в протоколе R3.",
ИЗ-1-R3,10.05,"Изолятор шлейфа ИЗ-1-R3 предназначен для использования в адресных линиях связи RS-R3 премно-контрольных приборов «Рубеж-2ОП» прот. R3, «R3-Рубеж-2ОП» и контроллеров «R3-Рубеж-КАУ2» и используется для размыкания части адресной линии связи при обнаружении в ней признаков короткого замыкания.",
АМ-1-R3,13.85,"Адресная метка АМ-1 прот.R3, предназначена для получения извещений от устройств с выходом типа «сухой контакт», не питающихся от шлейфа, и передачи извещений в приемно-контрольный прибор. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
АМ-4-R3,24.62,"Адресная метка АМ-4 прот.R3 предназначена для получения извещений от устройств с выходом типа «сухой контакт», не питающихся от шлейфа, и передачи извещений в приемно-контрольный прибор. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
АМП-4-R3,188.0,"Метка адресная пожарная АМП-4-R3 предназначена для подключения к адресной системе неадресных пожарных, охранных извещателей, считывателя Wiegand, управления оповещением, инженерными системами и передачи информации о состоянии шлейфа с извещателями в адресный приемно-контрольный прибор. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
МДУ-1С-R3,61.0,"Модуль управления клапаном дымоудаления или огнезадерживающим клапаном МДУ-1С-R3 предназначен для управления заслонкой клапана в ручном режиме с выносных кнопок управления или в автоматическом режиме с приемно-контрольного прибора. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3",
РМ-1-R3,22.1,"Адресный релейный модуль РМ-1-R3, предназначен для управления исполнительными устройствами, входящими в состав системы пожарной сигнализации. Работают в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
РМ-1К-R3,45.5,"Адресные релейные модули РМ-1К-R3 предназначены для управления исполнительными устройствами, входящими в состав системы пожарной сигнализации. Функционально адресные релейные модули представляют собой дистанционно управляемые выходы напряжения питания. Работают в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
РМ-1С-R3,44.0,"Адресный релейный модуль РМ-1С-R3 предназначен для управления исполнительными устройствами, входящими в состав системы пожарной сигнализации. Работают в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
РМ-4-R3,54.0,"Адресный релейный модуль РМ-4-R3 предназначен для управления исполнительными устройствами, входящими в состав системы пожарной сигнализации. Работает в составе адресной системы под управлением приемно-контрольного прибора Рубеж, обеспечивающим в АЛС обмен в протоколе R3.",
"ОПОП 124-R3 (светозвуковой, адресный, бело-красный)",47.5,"Оповещатель охранно-пожарный комбинированный (светозвуковой) ОПОП 124-R3 предназначен для выдачи звуковых и световых сигналов оповещения в системах пожарной и охранной сигнализации, а также информировании при наступлении особых ситуаций, таких как включение систем порошкового, газового либо водяного пожаротушения и других.",
"ОПОП 1-R3 ""ВЫХОД"" фон зеленый",23.6,"Оповещатель охранно-пожарный световой ОПОП 1-R3 предназначен для обозначения и оповещения специализированных зон (вход, выход), а также информирования при наступлении особых ситуаций, таких как включение пожарной сигнализации, включение систем порошкового, газового либо водяного пожаротушения и других.",
Рубеж-2ОП Прибор приёмно-контрольный охранно-пожарный адресный ППКОП 011249-2-1,370.0,"Прибор приемно-контрольный и управления охранно-пожарный адреcный «Рубеж-2ОП» ППКОП 011249-2-1
Мониторинг состояния и прием сигналов от 500 адресных устройств, подключенных к прибору двумя независимыми шлейфами.
Включение дополнительных устройств (например указателей выхода) в случае пожара или тревоги.
Управление системами оповещения, дымоудаления, пожаротушения и др.
Контроль состояния всех подключенных адресных устройств (в том числе контроль запыленности дымовых извещателей), а также проверка шлейфов на обрыв и возникновение КЗ.
Постановка и снятие с охраны контролируемых зон.
Защита РУБЕЖ-2ОП от несанкционированного вмешательства в органы управления.
Индикация всех принимаемых сигналов от адресных устройств и режимов работы прибора.
Обмен данными и програмирование с ПК по USB и RS-485, связь с прочими устройствами системы - по RS-485.",
