Nomi,Narxi ($),Tavsifi,Rasm
314300101.0,,DS-PDEBP1-EG2-WB(Тревожная кнопка маленькая),
314300103.0,,DS-PDMC-EG2-WB(СМК),
314300131.0,,DS-PDMCK-EG2-WB(СМК+СВЧ),
314300104.0,,DS-PDMCS-EG2-WB(СМК маленький),
314300152.0,,DS-PDMCX-E-WB(СМК большой),
314300100.0,,DS-PDP15P-EG2-WB (Движение+СВЧ),
,,DS-PDP18-EG2,
314300093.0,,DS-PDPC12P-EG2-WB(Движение камеры),
314300136.0,,DS-PDPC12PF-EG2-WB(Движение камеры COLOR VU),
314300132.0,,DS-PDPG12P-EG2-WB(Движение+Разбитие),
314300176.0,,DS-PDSMK-S-WB(Дымовой датчик),
314300163.0,,DS-PDTPH-E-WB(Градус+влажность),
314300114.0,,DS-PDWL-E-WB(Датчик воды),
302401705.0,,DS-PK1-E-WB (Пульт управления),
302402028.0,,DS-PK1-LT-WB(Пульт управления с экраном),
302401700.0,,DS-PKF1-WB(Пульт),
,,DS-PK-LRT,
302401749.0,,DS-PR1-WB(Репитер),
302401727.0,,DS-PS1-E-WB(СУЗ сигнализация),
302401724.0,,DS-PT1-WB(Считыватель карт),
314500018.0,,DS-PT-M1(Брелок),
302401729.0,,DS-PWA64-Kit-WB,
302401703.0,,DS-PWA64-L-WB(HUB-64),
302401775.0,,DS-PWA96-Kit-WB(HUB-96 Комплект),
302401704.0,,DS-PWA96-M-WB(HUB-96),
,,DS-TCG405-E,
,,DS-TCG406-E,
,,DS-TMG001-5(6m telescopic pole),
,,DS-TMG001-7,
,,DS-TMG012-5,
,,DS-TMG022,
,,DS-TMG023,
315100307.0,,DS-TMG034,
,,DS-TMG035,
,,DS-TMG300-DL DR Шлагбаум (3 серия),
315100517.0,,DS-TMG4B0-LA(6m)(O-STD) Шлагбаум (4 серия),
,,DS-TPE002,
,,DS-TPE304-S,
,,DS-TVL224-4-5Y,
,,DS-UPS03K72-R/TJS,
,,DS-UPS1000,
,,DS-UPS2000,
,,DS-UPS3000,
,,DS-UPS600,
,,DS-XS06-P,
,,DS-XS10-P,
,,HK-SFP-1.25G-20-1310-DF,
,,IDS-2CD7026G0-AP C,
311320165.0,,"iDS-2CD7146G0-IZS 2,8-12mm",
,,IDS-2CD7A26G0/P-IZHS 2.8-12MM,
311317294.0,,iDS-2CD7A26G0/P-IZHS(8-32mm)(C)(O-STD),
,,IDS-2CD7A26G0-IZHSY 2.8-12MM,
,,IDS-2CD7A46G0/P-IZHS 8-32MM C,
,,IDS-2CD7A46G0/P-IZHSY 2.8-12MM,
,,IDS-2CD7A46G0-IZHS 2.8-12MM C,
